Humedad;Temperatura
61;40
61;40
61;41
62;41
57;37
63;41
48;27
59;38
63;42
62;41
57;38
60;40
65;44
57;38
57;35
49;28
59;38
57;36
66;45
58;39
55;35
71;50
56;36
59;38
57;35
46;23
57;35
59;31
52;21
50;20
64;42
53;27
54;27
64;40
53;25
53;32
60;27
63;31
40;21
60;41
50;27
59;39
57;36
55;32
65;38
62;49
68;30
62;43
65;47
61;40
64;42
62;39
53;30
63;42
59;39
58;37
64;39
60;34
60;37
69;47
60;37
68;39
50;32
50;30
65;40
56;35
52;29
54;31
62;37
52;34
54;35
40;26
71;48
51;20
55;33
55;32
75;53
64;43
55;32
38;24
59;39
56;33
48;25
47;33
72;46
56;43
48;26
61;41
55;32
46;29
51;30
55;35
48;26
52;18
64;43
61;42
48;26
62;42
58;36
63;44
70;50
64;45
62;40
57;40
62;36
72;46
51;31
49;27
61;39
57;38
56;36
37;19
54;31
57;40
46;29
55;36
36;15
58;32
58;35
57;38
60;29
66;22
59;36
61;37
61;34
59;37
52;23
60;40
61;42
65;45
64;43
73;44
74;51
42;24
60;42
57;36
81;61
60;38
62;40
76;53
56;34
33;17
60;40
52;26
68;48
53;35
70;47
58;36
58;38
64;33
61;40
70;47
57;36
60;35
57;35
54;33
50;34
65;42
46;27
64;37
47;23
54;35
52;36
44;24
52;30
44;25
43;15
53;39
48;25
67;39
57;19
54;36
56;39
77;60
56;36
45;25
55;33
54;34
60;35
64;37
69;47
59;41
58;35
71;45
50;26
65;42
59;38
41;25
68;47
54;33
55;37
72;53
53;39
59;35
63;33
65;37
63;37
51;31
60;33
68;47
66;47
58;32
74;49
62;39
55;22
54;33
58;34
62;28
44;21
61;39
59;29
50;31
50;32
61;40
56;28
52;29
60;38
63;40
60;38
55;33
58;33
52;27
58;39
56;33
55;31
76;54
56;38
63;44
52;30
51;30
50;32
54;34
58;35
50;31
63;42
77;53
61;43
50;31
82;65
61;42
50;28
62;41
55;35
66;47
60;37
67;43
61;40
57;37
58;36
54;34
57;36
53;35
39;23
63;42
44;27
52;32
56;32
66;36
60;37
54;31
59;36
53;32
68;46
65;43
59;37
58;31
57;38
53;28
66;40
70;51
54;47
50;31
69;50
62;40
52;31
